schedule_date,snapshots,before_triggers,manual
2026-02-11,6,4,2
2026-02-12,1,1,0
2026-02-13,4,2,2
2026-02-14,9,7,2
2026-02-15,4,3,1
2026-02-16,4,4,0
2026-02-17,1,1,0
2026-02-18,6,6,0
2026-02-19,2,2,0
2026-02-20,7,6,1
2026-02-21,2,1,1
2026-02-23,4,4,0
2026-02-24,2,1,1
2026-02-26,2,2,0
2026-02-27,3,3,0
2026-02-28,1,1,0
2026-03-01,1,1,0
2026-03-02,2,2,0
2026-03-03,2,2,0
2026-03-05,1,1,0
2026-03-06,1,1,0
2026-03-07,1,1,0
2026-03-08,1,1,0
2026-03-09,1,1,0
2026-03-10,1,1,0
2026-03-11,1,1,0
2026-03-13,1,0,1
2026-03-17,1,1,0
2026-03-19,2,2,0
2026-03-23,2,2,0
2026-03-27,1,1,0
2026-03-29,3,3,0
2026-03-30,1,1,0
2026-03-31,1,1,0
2026-04-01,1,1,0
2026-04-05,2,2,0
2026-04-06,1,1,0
2026-04-07,1,1,0
2026-04-13,2,2,0
2026-04-15,1,1,0
2026-04-20,1,1,0
2026-04-21,2,2,0
2026-04-22,1,1,0
2026-04-23,1,1,0
2026-04-24,1,1,0
2026-04-25,1,1,0
2026-04-26,1,1,0
2026-04-27,1,1,0
2026-04-28,1,1,0
2026-04-30,1,1,0
2026-05-01,3,3,0
2026-05-02,3,3,0
2026-05-04,1,1,0
2026-05-05,1,1,0
2026-05-15,1,1,0
2026-05-23,1,1,0
2026-05-29,6,4,2
2026-05-30,1,1,0
2026-06-02,2,1,1
2026-06-03,1,1,0
2026-06-04,2,2,0
2026-06-05,1,1,0
2026-06-06,4,4,0
2026-06-07,4,3,1
2026-06-08,1,1,0
2026-06-09,4,3,1
2026-06-10,2,1,1
2026-06-11,3,2,1
2026-06-12,6,6,0
2026-06-13,4,2,2
2026-06-14,8,5,3
2026-06-15,7,5,2
2026-06-16,3,3,0
2026-06-17,1,1,0
2026-06-19,7,4,3
2026-06-20,5,1,4
2026-06-21,1,1,0
2026-06-22,3,2,1
2026-06-23,2,1,1
2026-06-26,1,0,1
2026-06-27,1,0,1
2026-06-28,1,1,0
2026-07-03,2,2,0
2026-07-07,2,2,0
2026-07-08,1,1,0
2026-07-11,1,1,0
2026-07-25,2,2,0
2026-07-28,1,1,0
2026-08-10,14,3,11
2026-08-13,3,1,2
2026-08-15,2,1,1
2026-08-16,1,0,1
2026-08-17,9,1,8
2026-08-19,1,0,1
2026-08-21,9,0,9
