month,days_observed,legs,legs_per_day,month_complete,regime
2025-04,5,3,0.6,0,
2025-05,31,38,1.23,1,2025-04-26..2025-05-23
2025-06,30,64,2.13,1,2025-05-24..2025-06-27
2025-07,31,148,4.77,1,2025-06-28..2025-07-31
2025-08,31,322,10.39,1,2025-08-01..2025-09-03
2025-09,30,464,15.47,1,2025-09-04..2025-10-01
2025-10,31,739,23.84,1,2025-10-02..2025-11-05
2025-11,30,1004,33.47,1,2025-11-06..2025-12-25
2025-12,31,1164,37.55,1,2025-11-06..2025-12-25
2026-01,31,1462,47.16,1,2025-12-26..2026-02-05
2026-02,28,1972,70.43,1,2026-02-06..2026-03-18
2026-03,31,2603,83.97,1,2026-02-06..2026-03-18
2026-04,30,2720,90.67,1,2026-03-19..2026-07-23
2026-05,31,2858,92.19,1,2026-03-19..2026-07-23
2026-06,30,2731,91.03,1,2026-03-19..2026-07-23
2026-07,31,2714,87.55,1,2026-03-19..2026-07-23
2026-08,21,2402,114.38,0,2026-07-24..2026-08-21
